"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"754",0.0919621052631605,11.0107196491228,1.35067317768471,0.179438019221528,0.235903464803798,-5.75520724209758
"389084",0.157656596491232,6.07391984210526,1.35061232838417,0.179457464844652,0.235904026487184,-5.7552874991123
"26259",-0.0588681929824499,5.01672386842105,-1.35025740696572,0.179570918778816,0.236028152647286,-5.75575555194777
"5603",0.158782578947372,8.53862162280702,1.35016303529765,0.179601094648735,0.236042803350595,-5.75587998459284
"677",0.135376175438603,4.96475466666667,1.34950851107265,0.179810487525101,0.236292964006923,-5.75674276797091
"152",0.118897140350884,5.51131930701754,1.34888012512814,0.180011691223242,0.236532311221726,-5.75757071506441
"4653",0.097054666666665,4.94281140350877,1.3468843437883,0.180651846883552,0.237348322078549,-5.76019783456658
"29092",0.156102754385971,5.60608865789474,1.34649173762792,0.180777978388779,0.237488884127771,-5.76071419283599
"25895",-0.105508614035084,6.05093948245614,-1.34623731173657,0.180859752465721,0.237571150014275,-5.7610487376206
"5064",0.123805017543866,6.11387954385965,1.34538469535734,0.181133991567119,0.237906187145123,-5.76216939704512
"10336",0.0856368774210576,5.29166793681579,1.3444079108958,0.18144855280528,0.238294107887421,-5.76345241489186
"652",0.254709859649138,7.72487759649123,1.34418357930597,0.181520853948954,0.238363823034388,-5.76374694960488
"1677",0.144687929824557,5.68471966666667,1.3423723681142,0.182105393320348,0.239106097040923,-5.76612322350196
"10971",-0.0773268947368244,11.2551658508772,-1.34190676425893,0.182255887775431,0.23927836917511,-5.76673358517683
"9262",0.163570421052631,4.87703478947368,1.34131092764808,0.182448612882589,0.239506042353226,-5.76751437017875
"55876",0.125481771929823,4.9824163245614,1.34092288545371,0.18257420855826,0.239645553752028,-5.7680226804865
"57535",-0.291453385964905,6.35803104385965,-1.34059111965231,0.182681641018256,0.239761197247958,-5.76845715934375
"23648",0.12296554385965,6.4591679122807,1.3394693414431,0.183045247085788,0.240212996704625,-5.76992546299173
"1612",0.158910438596494,5.07420155263158,1.33934524562091,0.183085504071733,0.240240409658921,-5.7700878197534
"28972",-0.0821135614035029,10.8961509385965,-1.3381580626981,0.183470965095603,0.240703685776351,-5.77164029549631
"128344",-0.109974719298246,4.8812045877193,-1.33813833924016,0.18347737415474,0.240703685776351,-5.77166607654093
"10840",0.131090326438602,5.81301689772807,1.33754751999033,0.183669436424471,0.240919822085648,-5.7724381810243
"23500",-0.113413280701749,5.44571257017544,-1.33751205394187,0.183680970450175,0.240919822085648,-5.77248451885794
"6732",-0.128722719298244,8.44307855263158,-1.33740064360478,0.183717206093104,0.240941871894573,-5.77263007324648
"11046",-0.108822771929817,6.88583675438596,-1.33694900856519,0.183864153024653,0.241109097591479,-5.77322000103134
"340152",-0.200358666666667,5.04825419298246,-1.33481451472751,0.184559839225625,0.241995797648483,-5.77600547401935
"115572",0.179956684210528,4.55941588596491,1.33326139840562,0.185067278747623,0.242629812649458,-5.77802954953512
"221150",0.149362701754389,6.99892356140351,1.33321487069516,0.185082496556689,0.242629812649458,-5.77809015084011
"85407",0.227964877192986,6.02599989473684,1.33309665678642,0.185121164974553,0.242654858960621,-5.77824411259939
"6238",-0.14336715789474,5.52992675438596,-1.33275226836558,0.185233850825693,0.242776910993438,-5.77869256855043
"79827",-0.216423807017537,5.56987388596491,-1.3318269389381,0.185536878452793,0.243148382496402,-5.77989695840375
"4258",-0.107354052631578,9.17249274561403,-1.32991419635228,0.186164441898295,0.243945038802709,-5.78238397471867
"23361",0.0827297894736878,7.45686868421053,1.32947244003626,0.186309606092388,0.244109470156331,-5.78295786956435
"23774",-0.0969077017543762,7.21441976315789,-1.32931488627814,0.186361399847303,0.24415154242775,-5.78316250622423
"9034",-0.154598,6.87278224561403,-1.32920732957886,0.186396763907652,0.244172083589662,-5.78330219134811
"9364",0.054014508771929,4.77547993859649,1.32843374788371,0.186651261386283,0.244479645853797,-5.78430652800494
"3097",-0.131319298245613,5.74987103508772,-1.32812359167106,0.186753371412497,0.244587564037653,-5.78470904284503
"54996",-0.145928526315789,6.00239666666667,-1.32692989389719,0.187146752179008,0.245076891261446,-5.7862573509464
"64789",0.072526754385966,4.74222362280702,1.3268073623097,0.187187167278422,0.245103939926269,-5.78641620645596
"2169",-0.115204350877196,4.75343984210526,-1.32661978093978,0.187249050663543,0.245159090609097,-5.78665936790264
"9730",0.0855988596491253,5.93772544736842,1.3260972716755,0.187421507961624,0.245358985198521,-5.78733652013594
"138241",0.0787010877192946,4.71242242105263,1.32481341741116,0.187845756205706,0.245888429714603,-5.78899924818533
"286053",-0.123878666666664,8.11419561403509,-1.32420901273375,0.188045729457977,0.246124219499498,-5.78978147601637
"4885",-0.42864333333333,5.61128429824561,-1.32414698912598,0.188066259580045,0.246125119627652,-5.7898617281376
"8487",-0.130116999999993,5.93337893859649,-1.32397946971338,0.18812171771057,0.246171725549311,-5.79007846268204
"79783",0.181915245614038,5.51639679824561,1.32385571446094,0.188162695349249,0.246199374800853,-5.79023855862077
"348093",-0.190086736842103,4.93568077192982,-1.32322941272257,0.188370177684962,0.246444856450191,-5.79104855109833
"1390",-0.119738842105258,5.673005,-1.32289443722768,0.188481219103516,0.246564125897491,-5.79148162045084
"55567",0.0711807719298241,4.79752863157895,1.32275793047785,0.188526483909954,0.246597332744814,-5.79165807119623
"29116",-0.114940912280691,7.36228803508772,-1.32265757970382,0.18855976479499,0.246614858974806,-5.79178777490465
"51085",0.138033561403513,6.3166042368421,1.32242725260998,0.188636168344369,0.246688775133743,-5.79208543735291
"55732",-0.167548649122806,5.47586307894737,-1.32195946111739,0.188791414199222,0.246865770791392,-5.79268983139553
"55696",0.0898090175438551,7.852522,1.32101562784956,0.189104934443181,0.247249668686962,-5.79390864771035
"55343",0.0964875087719328,7.20159263157895,1.32022288180478,0.189368567208329,0.24756826598357,-5.79493170568129
"79668",-0.184764491228066,5.5726308245614,-1.32007538790643,0.189417647509922,0.247593603277982,-5.79512198441625
"64963",0.0740811754385993,6.12929997368421,1.31999376800954,0.189444811556766,0.247593603277982,-5.7952272716445
"6786",0.0596057894736832,4.79119566666667,1.31998469771719,0.189447830434645,0.247593603277982,-5.79523897166083
"7546",0.467624456140357,4.57370189473684,1.31989545932394,0.189477533686761,0.247606334581814,-5.7953540785296
"8767",0.119055087719302,6.57458310526316,1.31863097606865,0.189898794264601,0.248129272495761,-5.79698429973412
"9644",0.124051140350876,6.03503369298246,1.31857423725321,0.189917713082454,0.248129272495761,-5.79705741410596
"3420",0.131587596491237,9.04064223684211,1.31841830032706,0.189969715461276,0.248171074310865,-5.79725834073019
"10749",0.146740296333335,6.29784076762281,1.31805956640614,0.190089387613187,0.248301259894058,-5.79772048624728
"23234",-0.179730929824558,7.2721624122807,-1.3172366307712,0.190364128052096,0.248633952233147,-5.79878018722062
"5025",0.125189017543859,7.84782021052632,1.31641585258112,0.190638443168243,0.248966019062843,-5.79983647061229
"1009",-0.201715223491227,6.07675591255263,-1.3158897210051,0.190814438412329,0.24915536017935,-5.80051322879788
"7416",-0.115087754385966,9.96729338596491,-1.31586234573147,0.190823598976445,0.24915536017935,-5.80054843417733
"93663",-0.191616508771927,6.77291946491228,-1.31501831061627,0.191106198664745,0.24949808317414,-5.80163353867617
"26010",-0.103331508771928,4.44314892982456,-1.31489139107234,0.191148720816048,0.249527334561383,-5.80179664997511
"5002",0.183002736842107,8.996607,1.31458140437616,0.191252606032894,0.249636675284859,-5.80219496675747
"57673",-0.0983605789473687,6.49065528947368,-1.31400183212021,0.191446949805605,0.249864053597298,-5.80293944256356
"139728",0.102598736842106,5.4444240877193,1.31244301817214,0.19197038583682,0.250520848597571,-5.80494019983826
"3590",0.0761225789473734,5.26749018421053,1.31153191075057,0.192276820968784,0.250888049269651,-5.80610855074859
"1368",-0.163430473684207,5.23606457017544,-1.31148615715825,0.192292218994403,0.250888049269651,-5.80616720172408
"25814",-0.0873964561403486,8.33208938596491,-1.31133084341564,0.192344495510117,0.250929861412231,-5.80636628172164
"91272",-0.0941059649122753,8.47367961403509,-1.31125941546395,0.192368540750033,0.250934838517553,-5.80645782985856
"389432",-0.334838087719297,6.18955130701754,-1.31100453503708,0.192454360993865,0.251020388408823,-5.806784466853
"5646",0.181417017543865,9.51574736842105,1.31087073019046,0.192499425547961,0.251052767794859,-5.80695591716071
"646576",0.0890684736842111,5.04063914912281,1.31021020930163,0.192721999581279,0.251316619302585,-5.80780202419203
"94",-0.129143596491225,6.8633024122807,-1.30951714798864,0.192955744591016,0.251594981173863,-5.80868936967111
"4522",0.0683573157894788,6.26078093859649,1.30941353648649,0.192990707200503,0.25161340880128,-5.80882198718721
"5604",0.120067473684209,8.31319556140351,1.30935504383165,0.193010447012591,0.25161340880128,-5.80889685034963
"2919",0.324715000000007,8.73039930701754,1.30755524566904,0.193618568704519,0.252379647563141,-5.81119877711609
"3692",0.142017035087719,10.5064336929825,1.30741078891279,0.193667439946124,0.252416825164623,-5.81138340289793
